"id","name","abv","ibu","target_fg","target_og","ebc","srm","ph"
"172","Single Hop Enigma IPA - B-Sides","5","50","1011","1050","10","5","4.4"
"47","AB:15","12.8","50","1020","1096","111","55.5","4.4"
"156","Hoppy Christmas","7.2","70","1012","1067","30","15","4.4"
"213","El Dorado - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"307","Kamikaze Knitting Club","7.5","30","1013","1071","130","66","4.6"
"244","AB:21","12","100","1015","1130","200","101.6","5.1"
"168","Jack Hammer","7.2","250","1010","1065","15","7.5","4.4"
"144","Tokyo*","16.2","85","1028","1157","250","127","4.4"
"27","Dog B","15","90","1003","1120","100","50","4.4"
"207","International Arms Race (w/ Flying Dog)","7.5","0","1013","1069","50","25","4.4"
"257","Semi Skimmed Occultist","8","70","1014","1080","160","81.28","4.1"
"8","Fake Lager","4.7","40","1010","1046","12","6","4.4"
"216","Barrel Aged Hinterland","9","85","1025","1094","400","200","4.3"
"126","Jet Black Heart","4.7","45","1019","1055","200","100","4.4"
"303","Hazy Jane Rye Barrel Aged","7.2","30","1009","1065","15","8","4.2"
"204","Cascade, Centennial & Willamette IPA - B-Sides","6.4","65","1011","1060","14","7","5.2"
"97","Bowman's Beard - B-Sides","18.3","50","1011","1067","15","8","5.3"
"313","Mallow Mafia","12","75","1025","1116","390","198","4.4"
"22","Devine Rebel (w/ Mikkeller)","12.5","100","1030","1093","36","18","4.4"
"216","Barrel Aged Hinterland","9","85","1025","1094","400","200","4.3"
"12","Arcade Nation","5.3","60","1012","1052","200","100","4.2"
"212","Hop Fiction - Prototype Challenge","5.2","40","1010","1048","13","6.5","4.4"
"61","Magic Stone Dog (w/Magic Rock & Stone Brewing Co.)","4.6","30","1008","1043","15","7.5","4.4"
"238","Kingpin","4.7","40","1008","1044","14","7","4.2"
"27","Dog B","15","90","1003","1120","100","50","4.4"
"184","Atlantic IPA Ale","8","80","1013","1074","55","13","4.4"
"265","Pump Action Poet","7.5","40","1013","1070","12","6","5.2"
"294","Opaque Jake","7.2","20","1009","1065","20","10","4.4"
"8","Fake Lager","4.7","40","1010","1046","12","6","4.4"
"304","Karma Cloud","6.5","50","1010","1060","35","18","4.4"
"201","Waimea - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"52","Paradox Islay","10","55","1014","1090","300","152","4.4"
"74","Eurotrash","4.1","52","1010","1041","17","8.5","5.2"
"124","Chaos Theory","7.1","90","1013","1067","15","7.5","4.4"
"23","Storm","8","60","1010","1082","12","6","4.4"
"123","Candy Kaiser","5.2","45","1009","1049","45","22.5","4.2"
"276","Nine To Five Wizard","7.5","35","1012","1069","20","10","4.3"
"303","Hazy Jane Rye Barrel Aged","7.2","30","1009","1065","15","8","4.2"
"287","Hello My Name Is Marianne","8.2","70","1009","1070","15","8","4.4"
"247","Self Assembly Pope","7.4","75","1016","1072","200","101.6","5.1"
"314","Manic Mango","6","20","1010","1057","12","6","4.4"
"68","Hype","4.1","65","1010","1042","17","8.5","4.4"
"155","Old World Russian Imperial Stout","9.5","80","1014","1075","195","97.5","4.5"
"143","Lizard Bride - Prototype Challenge","5.7","35","1009","1053","25","12.5","4.4"
"30","Dana - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"19","Hello My Name Is Mette-Marit","8.2","70","1013","1076","","","4.4"
"308","Very Big Moose","12","25","1038","1128","100","50","4.4"
"104","India Pale Weizen (w/ Weihenstephan)","6.2","50","1010","1056","35","17.5","4"
"183","Nuns With Guns","4.2","25","1012","1044","19","9.5","4.4"
"104","India Pale Weizen (w/ Weihenstephan)","6.2","50","1010","1056","35","17.5","4"
"198","AB:01","10.2","20","1018","1095","16","8","4.1"
"123","Candy Kaiser","5.2","45","1009","1049","45","22.5","4.2"
"160","Restorative Beverage For Invalids And Convalescents","8.5","100","1003","1068","15","7.5","4.4"
"299","Raspberry Popsicle Parade","0.5","8","1005","1009","8","4","3.5"
"82","Hopped-Up Brown Ale - Prototype Challenge","6.3","85","1015","1063","24","12","4.2"
"71","Pale - Russian Doll","4","35","1010","1041","45","22.5","5.2"
"48","Goldings - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"216","Barrel Aged Hinterland","9","85","1025","1094","400","200","4.3"
"151","Rhubarb Saison - B-Sides","6.4","25","1008","1052","10","5","5.2"
"285","Hello My Name Is Sari","8.2","70","1009","1070","15","8","4.4"
"123","Candy Kaiser","5.2","45","1009","1049","45","22.5","4.2"
"48","Goldings - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"140","Pioneer - IPA Is Dead","7.2","100","1010","1064","12","6","4.4"
"137","Sink The Bismarck!","41","1085","1016","1085","40","20","4.4"
"325","Zipcode","5","37","1006","1044","5","3","4.4"
"153","Hoppy Saison - B-Sides","6.4","40","1010","1059","8","4","5.2"
"155","Old World Russian Imperial Stout","9.5","80","1014","1075","195","97.5","4.5"
"161","Tokyo Rising Sun - Highland","13.2","85","1023","1125","140","71","4.4"
"287","Hello My Name Is Marianne","8.2","70","1009","1070","15","8","4.4"
"93","Mango Gose - B-Sides","6.4","40","1000","1057","10","5","3.5"
"266","Small Batch: Lemon Meringue Pie","6.5","5","1015","1066","7","4","4"
"283","AB:24","11.5","50","1019","1110","220","112","4.4"
"201","Waimea - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"58","Coffee Imperial Stout","9","65","1019","1080","97","49","4.4"
"145","Sorachi Bitter - B-Sides","6.3","130","1010","1060","14","7","5.2"
"229","Rye Hammer","7.2","250","1010","1065","17","8.5","4.4"
"35","Berliner Weisse With Raspberries And Rhubarb - B-Sides","3.6","8","1007","1040","","","3.2"
"44","Dog Wired (w/8 Wired)","7.1","65","1010","1065","13","6.5","4.4"
"316","SOS! (May Day!)","6.4","34","1014","1060","21","11","4.2"
"118","Bounty Hunter - Shareholder Brew","6.5","35","1020","1068","250","125","4.2"
"28","HBC 369","6.7","67","1064","1013","19","9.5","4.4"
"7","AB:12","11.2","35","1017","1108","80","40","5.3"
"204","Cascade, Centennial & Willamette IPA - B-Sides","6.4","65","1011","1060","14","7","5.2"
"15","Mixtape 8","14.5","50","1014","1093","40","20","4.4"
"25","Bad Pixie","4.7","45","1010","1047","8","4","4.4"
"313","Mallow Mafia","12","75","1025","1116","390","198","4.4"
"247","Self Assembly Pope","7.4","75","1016","1072","200","101.6","5.1"
"220","Ace Of Simcoe","4.5","40","1011","1045","18","9","4.2"
"214","Cult Lager","5.4","50","1049","1008","19","8","4.1"
"322","Jet Trash","6.9","65","1008","1060","18","9","4.6"
"262","Small Batch: Vermont IPA V2.0","6.9","35","1012","1066","15","7.6","4.2"
"130","Spiced Cherry Sour - B-Sides","6.5","20","1010","1060","","","3.2"
"251","Small Batch: Sorachi Ace Session","4","25","1005","1035","15","7.62","5.1"
"91","Dead Pony Club","3.8","35","1012","1040","25","12.7","4.4"
"125","Juniper Wheat Beer","5","40","1008","1047","15","7.5","4.1"
"143","Lizard Bride - Prototype Challenge","5.7","35","1009","1053","25","12.5","4.4"
"12","Arcade Nation","5.3","60","1012","1052","200","100","4.2"
"285","Hello My Name Is Sari","8.2","70","1009","1070","15","8","4.4"
"110","Truffle and Chocolate Stout - B-Sides","5.6","30","1015","1058","54","27","4.4"
"247","Self Assembly Pope","7.4","75","1016","1072","200","101.6","5.1"
"53","Baby Dogma","4.5","35","1013","1048","40","20","4.4"
"74","Eurotrash","4.1","52","1010","1041","17","8.5","5.2"
"76","#Mashtag 2013","7.5","50","1013","1070","40","20","4.4"
"325","Zipcode","5","37","1006","1044","5","3","4.4"
"58","Coffee Imperial Stout","9","65","1019","1080","97","49","4.4"
"228","Prototype Helles","4.9","18","1047","1010","13","6.6","4.2"
"244","AB:21","12","100","1015","1130","200","101.6","5.1"
"108","American Ale","6.3","55","1012","1060","30","15","4.4"
"197","Moshi Moshi 15","5.2","45","1011","1048","35","17.5","4.4"
"39","Kohatu - IPA Is Dead","7.2","70","1012","1067","30","15","4.4"
"50","Lost Dog (w/Lost Abbey)","10","35","1012","1080","80","40","4.4"
"172","Single Hop Enigma IPA - B-Sides","5","50","1011","1050","10","5","4.4"
"23","Storm","8","60","1010","1082","12","6","4.4"
"111","Vagabond Pilsner","4.5","55","1012","1046","25","12.5","4.4"
"175","San Diego Scotch Ale (w/Ballast Point)","9","70","1018","1090","190","95","4.4"
"210","Dead Metaphor","6.8","30","1016","1068","86","43","4.4"
"153","Hoppy Saison - B-Sides","6.4","40","1010","1059","8","4","5.2"
"198","AB:01","10.2","20","1018","1095","16","8","4.1"
"207","International Arms Race (w/ Flying Dog)","7.5","0","1013","1069","50","25","4.4"
"22","Devine Rebel (w/ Mikkeller)","12.5","100","1030","1093","36","18","4.4"
"257","Semi Skimmed Occultist","8","70","1014","1080","160","81.28","4.1"
"138","Dog A","15","90","1003","1120","100","50","4.4"
"19","Hello My Name Is Mette-Marit","8.2","70","1013","1076","","","4.4"
"261","Small Batch: Nitro Breakfast Stout","8","80","1027","1092","88","44.7","5.2"
"185","Tactical Nuclear Penguin","32","1157","1028","1157","250","127","4.4"
"53","Baby Dogma","4.5","35","1013","1048","40","20","4.4"
"235","Mango And Chili Barley Wine","12","","1015","1110","20","40","4.4"
"241","Hello My Name Is Ingrid 2016","8.2","70","1013","1076","30","15.2","5.2"
"256","Small Batch: Vermont IPA","6.9","35","1012","1066","15","7.62","4.2"
"256","Small Batch: Vermont IPA","6.9","35","1012","1066","15","7.62","4.2"
"92","AB:09","11.6","77","1022","1110","265","132.5","5.2"
"318","Neverland","5","40","1007","1048","12","6","4.2"
"19","Hello My Name Is Mette-Marit","8.2","70","1013","1076","","","4.4"
"296","Off-Duty Alien","6.5","50","1010","1060","20","10","4.4"
"248","Twin Atlantic","5","80","1011","1048","19","9.7","5.2"
"285","Hello My Name Is Sari","8.2","70","1009","1070","15","8","4.4"
"157","Edge","2.7","36","1010","1033","57","29","4.4"
"37","Zephyr","12.5","125","1016","1087","40","20","4.4"
"248","Twin Atlantic","5","80","1011","1048","19","9.7","5.2"
"134","Mr.Miyagi's Wasabi Stout","7.5","90","1015","1072","200","102","4.4"
"99","Hello My Name Is Päivi","8.3","70","1013","1076","30","15","4.4"
"176","Old World India Pale Ale","7.5","80","1012","1069","50","25","4.4"
"278","AB:23","11.5","80","1020","1110","80","41","4.1"
"104","India Pale Weizen (w/ Weihenstephan)","6.2","50","1010","1056","35","17.5","4"
"115","Melon And Cucumber IPA - B-Sides","6","50","1010","1050","8","4","5.2"
"31","Nanny State","0.5","55","1005","1007","30","15","4.4"
"254","Small Batch: Kellerbier","4.5","25","1011","1043","17","8.6","5.3"
"236","Science IPA","5","","1011","1050","24","47","4.4"
"165","Barley Wine - Russian Doll","10","80","1020","1097","65","32.5","4.4"
"262","Small Batch: Vermont IPA V2.0","6.9","35","1012","1066","15","7.6","4.2"
"13","Movember","4.5","50","1012","1047","140","70","5.2"
"279","Slot Machine","5.2","50","1011","1051","50","25","4.3"
"1","Buzz","4.5","60","1010","1044","20","10","4.4"
"320","King of Eights","7.4","20","1009","1065","20","10","4.4"
"49","AB:14","10","30","1016","1094","20","10","4.4"
"122","Dog Fight (w/ Flying Dog)","8.5","65","1012","1078","31.2","15.6","4.4"
"61","Magic Stone Dog (w/Magic Rock & Stone Brewing Co.)","4.6","30","1008","1043","15","7.5","4.4"
"285","Hello My Name Is Sari","8.2","70","1009","1070","15","8","4.4"
"222","Dog E","16.1","100","1125","1015","500","254","4.4"
"98","Pumpkin King","5.4","20","1014","1055","30","15","4.4"
"71","Pale - Russian Doll","4","35","1010","1041","45","22.5","5.2"
"171","Challenger","6.7","67","1013","1064","19","9.5","4.4"
"268","Hazy Jane","7.2","30","1009","1065","15","8","4.2"
"59","Mandarina Bavaria - IPA Is Dead","7.2","100","1010","1064","12","6","4.4"
"83","Comet","7.2","70","1012","1067","30","15","4.4"
"50","Lost Dog (w/Lost Abbey)","10","35","1012","1080","80","40","4.4"
"17","AB:06","11.2","150","1013","1098","70","35",""
"281","Homicidal Puppet Help Desk","11.5","132","1020","1105","45","23","4.1"
"194","Hardkogt IPA","7.6","175","1014","1072","40","20","4.4"
"87","Alpha Pop","4.5","30","1011","1045","25","12.5","4.4"
"121","Punk Monk","6","60","1010","1056","17","8.5","4.4"
"161","Tokyo Rising Sun - Highland","13.2","85","1023","1125","140","71","4.4"
"286","Hello My Name Is Aune","8.2","70","1009","1070","15","8","4.4"
"280","Make Earth Great Again","7.5","35","1004","1065","9","5","4.6"
"155","Old World Russian Imperial Stout","9.5","80","1014","1075","195","97.5","4.5"
"218","Monk Hammer","7.2","250","1010","1065","15","7.5","4.4"
"177","Dog D","16.1","85","1015","1125","400","200","4.3"
"215","Brixton Porter","5","50","1014","1053","200","100","4.4"
"170","Bashah (w/ Stone Brewing Co)","9.7","100","1015","1088","30","15.3","4.4"
"297","East Of Vermont","7.8","15","1018","1077","20","10","4.4"
"249","Hop Shot","7","250","1010","1065","15","7.5","4.4"
"35","Berliner Weisse With Raspberries And Rhubarb - B-Sides","3.6","8","1007","1040","","","3.2"
"61","Magic Stone Dog (w/Magic Rock & Stone Brewing Co.)","4.6","30","1008","1043","15","7.5","4.4"
"188","Paradox Jura","10","55","1014","1128","300","152","4.4"
"125","Juniper Wheat Beer","5","40","1008","1047","15","7.5","4.1"
"153","Hoppy Saison - B-Sides","6.4","40","1010","1059","8","4","5.2"
"3","Berliner Weisse With Yuzu - B-Sides","4.2","8","1007","1040","8","4","3.2"
"253","Small Batch: 90 Shilling","5.3","25","1010","1056","40","20.32","4.2"
"18","Russian Doll – India Pale Ale","6","70","1012","1058","25","12.5","5.2"
"258","Paradox Rye","13","100","1015","1112","300","152","4.4"
"79","Hops Kill Nazis","7.6","70","1015","1073","59","29.5","4.4"
"250","Small Batch: Rye IPA","7.2","100","1010","1065","8","16","4.4"
"6","Electric India","5.2","38","1005","1045","15","7.5","4.4"
"161","Tokyo Rising Sun - Highland","13.2","85","1023","1125","140","71","4.4"
"217","Barrel Aged Albino Squid Assassin","9.2","65","1012","1069","60","30","4.2"
"190","Hello My Name is Sonja (w/ Evil Twin)","8.3","70","1013","1076","30","15","4.4"
"312","Dog G","17","100","1015","1125","500","254","4.4"
"130","Spiced Cherry Sour - B-Sides","6.5","20","1010","1060","","","3.2"
"127","Galaxy","6.7","67","1064","1013","19","9.5","4.4"
"59","Mandarina Bavaria - IPA Is Dead","7.2","100","1010","1064","12","6","4.4"
"83","Comet","7.2","70","1012","1067","30","15","4.4"
"102","Peach Therapy","9","30","1000","1071","12","6","3.6"
"269","Small Batch: Imperial Pale Weizen","7.5","25","1010","1067","18","9","4.4"
"121","Punk Monk","6","60","1010","1056","17","8.5","4.4"
"93","Mango Gose - B-Sides","6.4","40","1000","1057","10","5","3.5"
"263","Small Batch: Mandarina Lager","5.3","40","1008","1049","7","4","4.3"
"25","Bad Pixie","4.7","45","1010","1047","8","4","4.4"
"165","Barley Wine - Russian Doll","10","80","1020","1097","65","32.5","4.4"
"92","AB:09","11.6","77","1022","1110","265","132.5","5.2"
"252","Small Batch: Dortmunder","4.9","32","1009","1049","15","7.62","5.2"
"322","Jet Trash","6.9","65","1008","1060","18","9","4.6"
"277","Prototype Blonde Ale","4.5","15","1009","1044","12","6","4.6"
"304","Karma Cloud","6.5","50","1010","1060","35","18","4.4"
"127","Galaxy","6.7","67","1064","1013","19","9.5","4.4"
"162","77 Lager","4.9","30","1009","1047","12","6","4.4"
"151","Rhubarb Saison - B-Sides","6.4","25","1008","1052","10","5","5.2"
"240","Blitz Saison","3.2","8","1007","1040","7","14","3.2"
"153","Hoppy Saison - B-Sides","6.4","40","1010","1059","8","4","5.2"
"250","Small Batch: Rye IPA","7.2","100","1010","1065","8","16","4.4"
"185","Tactical Nuclear Penguin","32","1157","1028","1157","250","127","4.4"
"195","Hello My Name Is Holy Moose","5.5","35","1011","1053","25","12.5","4.4"
"99","Hello My Name Is Päivi","8.3","70","1013","1076","30","15","4.4"
"29","10 Heads High","7.8","70","1015","1074","90","45","4.4"
"123","Candy Kaiser","5.2","45","1009","1049","45","22.5","4.2"
"70","Sunmaid Stout","10.2","50","1102","1026","197","100","4.4"
"250","Small Batch: Rye IPA","7.2","100","1010","1065","8","16","4.4"
"63","Sunk Punk","7.1","68","1010","1056","14","7","4.4"
"238","Kingpin","4.7","40","1008","1044","14","7","4.2"
"30","Dana - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"233","Ace Of Citra","4.5","40","1011","1045","18","9","4.2"
"253","Small Batch: 90 Shilling","5.3","25","1010","1056","40","20.32","4.2"
"279","Slot Machine","5.2","50","1011","1051","50","25","4.3"
"88","Bavarian Weizen","6.3","55","1012","1060","30","15","4.4"
"17","AB:06","11.2","150","1013","1098","70","35",""
"265","Pump Action Poet","7.5","40","1013","1070","12","6","5.2"
"221","Blitz Series","3.2","8","1032","1007","8","3","3.2"
"80","AB:04","15","80","1018","1113","400","200","4"
"206","Black Jacques","11.1","45","1005","1089","15","7.5","4.4"
"265","Pump Action Poet","7.5","40","1013","1070","12","6","5.2"
"48","Goldings - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"265","Pump Action Poet","7.5","40","1013","1070","12","6","5.2"
"185","Tactical Nuclear Penguin","32","1157","1028","1157","250","127","4.4"
"169","AB:19","13.1","","","","","",""
"100","Elvis Juice V2.0 - Prototype Challenge","6.5","60","1010","1060","25","12.5","4.4"
"224","AB:20","14.2","20","1120","1025","67","34","4"
"60","Dogma","7.5","30","1023","1080","46","23","4.5"
"30","Dana - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"252","Small Batch: Dortmunder","4.9","32","1009","1049","15","7.62","5.2"
"269","Small Batch: Imperial Pale Weizen","7.5","25","1010","1067","18","9","4.4"
"67","Hunter Foundation Pale Ale","5.4","35","1008","1050","11.5","5.75","4.4"
"269","Small Batch: Imperial Pale Weizen","7.5","25","1010","1067","18","9","4.4"
"324","Fools Gold Dortmunder Lager","5.6","32","1009","1052","11","6","4.2"
"139","Born To Die","8.5","85","1007","1072","15","7.5","4.4"
"11","Misspent Youth","7.3","30","1020","1079","120","60","4.4"
"89","Citra","7.5","70","1013","1068","30","15","4.4"
"310","Clockwork Tangerine","4.5","37","1012","1047","20","10","4.2"
"99","Hello My Name Is Päivi","8.3","70","1013","1076","30","15","4.4"
"109","Cocoa Psycho","10","85","1012","1098","30","15.25","4.4"
"181","Vic Secret","7.4","70","1012","1069","30","15","4.4"
"188","Paradox Jura","10","55","1014","1128","300","152","4.4"
"67","Hunter Foundation Pale Ale","5.4","35","1008","1050","11.5","5.75","4.4"
"194","Hardkogt IPA","7.6","175","1014","1072","40","20","4.4"
"31","Nanny State","0.5","55","1005","1007","30","15","4.4"
"72","Whisky Sour - B-Sides","7","20","1021","1081","12","6","3.2"
"160","Restorative Beverage For Invalids And Convalescents","8.5","100","1003","1068","15","7.5","4.4"
"105","Hello My Name Is Beastie","8.2","42","1013","1078","90","45","4.4"
"103","Clown King","12","85","1020","1130","24","12","4.4"
"32","AB:05","12.5","40","1030","1126","180","90","4.4"
"119","Zeitgeist","4.9","32","1010","1047.5","120","60","4.3"
"299","Raspberry Popsicle Parade","0.5","8","1005","1009","8","4","3.5"
"322","Jet Trash","6.9","65","1008","1060","18","9","4.6"
"318","Neverland","5","40","1007","1048","12","6","4.2"
"222","Dog E","16.1","100","1125","1015","500","254","4.4"
"170","Bashah (w/ Stone Brewing Co)","9.7","100","1015","1088","30","15.3","4.4"
"161","Tokyo Rising Sun - Highland","13.2","85","1023","1125","140","71","4.4"
"13","Movember","4.5","50","1012","1047","140","70","5.2"
"98","Pumpkin King","5.4","20","1014","1055","30","15","4.4"
"156","Hoppy Christmas","7.2","70","1012","1067","30","15","4.4"
"308","Very Big Moose","12","25","1038","1128","100","50","4.4"
"88","Bavarian Weizen","6.3","55","1012","1060","30","15","4.4"
"291","Hello My Name Is Sofia","8.2","70","1009","1070","15","8","4.4"
"13","Movember","4.5","50","1012","1047","140","70","5.2"
"249","Hop Shot","7","250","1010","1065","15","7.5","4.4"
"190","Hello My Name is Sonja (w/ Evil Twin)","8.3","70","1013","1076","30","15","4.4"
"204","Cascade, Centennial & Willamette IPA - B-Sides","6.4","65","1011","1060","14","7","5.2"
"186","Jasmine IPA","5.8","40","1014","1060","35","17.5","4.4"
"80","AB:04","15","80","1018","1113","400","200","4"
"37","Zephyr","12.5","125","1016","1087","40","20","4.4"
"272","Small Batch: Spelt & Honey Saison","5.2","22","1008","1046","8","4","4.1"
"301","Small Batch: Dry-hopped Pilsner","4.7","37","1006","1042","5","3","4.4"
"98","Pumpkin King","5.4","20","1014","1055","30","15","4.4"
"9","AB:07","12.5","30","1020","1106","84","42","5.6"
"98","Pumpkin King","5.4","20","1014","1055","30","15","4.4"
"26","Skull Candy","3.5","33","1012","1038","50","25","4.4"
"67","Hunter Foundation Pale Ale","5.4","35","1008","1050","11.5","5.75","4.4"
"41","AB:17","10.7","100","1025","1105","300","150","4.3"
"305","Native Son","8.5","70","1010","1073","18","9","4.6"
"17","AB:06","11.2","150","1013","1098","70","35",""
"35","Berliner Weisse With Raspberries And Rhubarb - B-Sides","3.6","8","1007","1040","","","3.2"
"251","Small Batch: Sorachi Ace Session","4","25","1005","1035","15","7.62","5.1"
"241","Hello My Name Is Ingrid 2016","8.2","70","1013","1076","30","15.2","5.2"
"1","Buzz","4.5","60","1010","1044","20","10","4.4"
"206","Black Jacques","11.1","45","1005","1089","15","7.5","4.4"
"156","Hoppy Christmas","7.2","70","1012","1067","30","15","4.4"
"71","Pale - Russian Doll","4","35","1010","1041","45","22.5","5.2"
"230","Black Hammer","7.2","250","1010","1065","104","53","4.4"
"296","Off-Duty Alien","6.5","50","1010","1060","20","10","4.4"
"5","Avery Brown Dredge","7.2","59","1027","1069","10","5","4.4"
"155","Old World Russian Imperial Stout","9.5","80","1014","1075","195","97.5","4.5"
"146","Nelson Sauvin","7.5","75","1013","1068","30","15","4.4"
"186","Jasmine IPA","5.8","40","1014","1060","35","17.5","4.4"
"3","Berliner Weisse With Yuzu - B-Sides","4.2","8","1007","1040","8","4","3.2"
"150","AB:13","11.3","50","1020","1098","164","83","4.4"
"318","Neverland","5","40","1007","1048","12","6","4.2"
"205","Shareholder Black IPA 2011","7.1","80","1014","1067","71","36","4.4"
"213","El Dorado - IPA Is Dead","6.7","70","1015","1066","30","15","4.4"
"314","Manic Mango","6","20","1010","1057","12","6","4.4"
"284","Hello My Name Is Helga","8.2","70","1009","1070","15","8","4.4"
"149","AB:03","10.5","14","1013","1093","","","4.4"
"61","Magic Stone Dog (w/Magic Rock & Stone Brewing Co.)","4.6","30","1008","1043","15","7.5","4.4"
"104","India Pale Weizen (w/ Weihenstephan)","6.2","50","1010","1056","35","17.5","4"
"116","Morag's Mojito - B-Sides","6.7","40","1010","1063","15","7.5","5.2"
"3","Berliner Weisse With Yuzu - B-Sides","4.2","8","1007","1040","8","4","3.2"
"62","AB:08","10.43","65","1016","1095","23","11.5","4.4"
"194","Hardkogt IPA","7.6","175","1014","1072","40","20","4.4"
"18","Russian Doll – India Pale Ale","6","70","1012","1058","25","12.5","5.2"
"9","AB:07","12.5","30","1020","1106","84","42","5.6"
"227","Brewdog Vs Beavertown","9.2","50","1085","1016","78.8","40","4.2"
"66","Tokyo Rising Sun - Lowland","13.2","85","1023","1125","140","71","4.4"
"251","Small Batch: Sorachi Ace Session","4","25","1005","1035","15","7.62","5.1"
"42","Hardcore IPA","9.2","125","1016","1085","40","20","4.4"
"60","Dogma","7.5","30","1023","1080","46","23","4.5"
"280","Make Earth Great Again","7.5","35","1004","1065","9","5","4.6"
"149","AB:03","10.5","14","1013","1093","","","4.4"
"151","Rhubarb Saison - B-Sides","6.4","25","1008","1052","10","5","5.2"
"156","Hoppy Christmas","7.2","70","1012","1067","30","15","4.4"
"113","Hello My Name Is Ingrid","8.2","42","1013","1078","70","35","4.4"
"285","Hello My Name Is Sari","8.2","70","1009","1070","15","8","4.4"
"311","Sonic Boom","6.5","60","1008","1058","11","6","4.6"
"160","Restorative Beverage For Invalids And Convalescents","8.5","100","1003","1068","15","7.5","4.4"
"131","Motueka","6.7","67","1064","1013","19","9.5","4.4"
"116","Morag's Mojito - B-Sides","6.7","40","1010","1063","15","7.5","5.2"
"76","#Mashtag 2013","7.5","50","1013","1070","40","20","4.4"
"40","Hello My Name is Vladimir","8.2","70","1013","1076","16","8","4.4"
"118","Bounty Hunter - Shareholder Brew","6.5","35","1020","1068","250","125","4.2"
"38","Belgian Trappist","6.3","55","1012","1060","30","15","4.4"
"75","Never Mind The Anabolics","6.5","35","1012","1050","23","11.5","4.4"
"60","Dogma","7.5","30","1023","1080","46","23","4.5"
"273","Prototype Double IPA","8.5","60","1007","1073","15","8","4.2"
"192","Punk IPA 2007 - 2010","6","60","1010","1056","17","8.5","4.4"
"53","Baby Dogma","4.5","35","1013","1048","40","20","4.4"
"181","Vic Secret","7.4","70","1012","1069","30","15","4.4"
"309","Paradox Islay 2018","13.5","100","1015","1112","300","152","4.4"
"167","Libertine Black Ale","7.2","50","1013","1068","150","76","4.4"
"171","Challenger","6.7","67","1013","1064","19","9.5","4.4"
"85","Santa Paws","4.5","35","1013","1048","44","22","4.4"
"98","Pumpkin King","5.4","20","1014","1055","30","15","4.4"
"146","Nelson Sauvin","7.5","75","1013","1068","30","15","4.4"
"158","Hello My Name Is Zé (w/ 2Cabeças)","6.4","50","1012","1061","20","10","4.4"
"221","Blitz Series","3.2","8","1032","1007","8","3","3.2"
"244","AB:21","12","100","1015","1130","200","101.6","5.1"
"314","Manic Mango","6","20","1010","1057","12","6","4.4"
"21","Vice Bier","4.3","25","1010","1043","30","15","4"
